LOINC_NUM,LONG_COMMON_NAME,reference_fact
30898-1,Plasma volume by Scintigraphy,Test: Plasma volume | System: ^Patient | Units: mL | Info: Total plasma volume determined using Iodine-125 labeled human serum albumin
30238-0,3-Hydroxytetradecanoylcarnitine (C14-OH) [Moles/volume] in Serum or Plasma,Test: 3-Hydroxytetradecanoylcarnitine (C14-OH) | System: Ser/Plas | Units: umol/L | Info: 
30244-8,Acetylcholinesterase [Enzymatic activity/volume] in Blood,Test: Acetylcholinesterase | System: Bld | Units: kU/L | Info: 
30248-9,Transferrin receptor.soluble [Mass/volume] in Serum or Plasma,Test: Transferrin receptor.soluble | System: Ser/Plas | Units: mg/L | Info: 
3025-4,Thyroxine (T4) [Mass/volume] in Blood,Test: Thyroxine | System: Bld | Units: ug/mL | Info: 
30312-3,3-Hydroxyoleoylcarnitine (C18:1-OH) [Moles/volume] in Serum or Plasma,Test: 3-Hydroxyoleoylcarnitine (C18:1-OH) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30315-6,Acid alpha glucosidase [Enzymatic activity/mass] in Small intestine Tissue,Test: Acid alpha glucosidase | System: Tsmi | Units: umol/min/g | Info: 
30316-4,Alpha subunit free [Mass/volume] in Serum or Plasma,Test: Alpha subunit.free | System: Ser/Plas | Units: ng/mL | Info: 
30317-2,Base deficit in Arterial cord blood,Test: Base deficit | System: BldCoA | Units: mmol/L | Info: 
30318-0,Base deficit in Blood,Test: Base deficit | System: Bld | Units: mmol/L | Info: 
30319-8,Beta galactosidase [Enzymatic activity/mass] in Small intestine Tissue,Test: Beta galactosidase | System: Tsmi | Units: umol/min/g | Info: 
30327-1,Decanoylcarnitine (C10) [Moles/volume] in Serum or Plasma,Test: Decanoylcarnitine (C10) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30328-9,Decenoylcarnitine (C10:1) [Moles/volume] in Serum or Plasma,Test: Decenoylcarnitine (C10:1) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30331-3,Dodecanoylcarnitine (C12) [Moles/volume] in Serum or Plasma,Test: Dodecanoylcarnitine (C12) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30332-1,Dodecenoylcarnitine (C12:1) [Moles/volume] in Serum or Plasma,Test: Dodecenoylcarnitine (C12:1) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
3033-8,Transcortin [Mass/volume] in Serum,Test: Transcortin | System: Ser | Units: mg/L | Info: 
30349-5,Glutarylcarnitine (C5-DC) [Moles/volume] in Serum or Plasma,Test: Glutarylcarnitine (C5-DC) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
3035-3,Transferrin [Mass/volume] in Urine,Test: Transferrin | System: Urine | Units: mg/dL | Info: 
30356-0,Palmitoylcarnitine (C16) [Moles/volume] in Serum or Plasma,Test: Palmitoylcarnitine (C16) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30357-8,Palmitoleylcarnitine (C16:1) [Moles/volume] in Serum or Plasma,Test: Palmitoleylcarnitine (C16:1) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30358-6,Hexanoylcarnitine (C6) [Moles/volume] in Serum or Plasma,Test: Hexanoylcarnitine (C6) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
3036-1,Transketolase [Enzymatic activity/volume] in Serum,Test: Transketolase | System: Ser | Units: arb U/L | Info: 
30369-3,Fractional oxyhemoglobin in Venous cord blood,Test: Oxyhemoglobin/Hemoglobin.total | System: BldCoV | Units: % | Info: 
30370-1,Fractional oxyhemoglobin in Arterial cord blood,Test: Oxyhemoglobin/Hemoglobin.total | System: BldCoA | Units: % | Info: 
30372-7,Sucrase [Enzymatic activity/mass] in Small intestine Tissue,Test: Sucrase | System: Tsmi | Units: umol/min/g | Info: 
3038-7,Trehalase [Enzymatic activity/volume] in Urine,Test: Trehalase | System: Urine | Units: arb U/L | Info: 
3039-5,Lipase [Enzymatic activity/volume] in Amniotic fluid,Test: Triacylglycerol lipase | System: Amnio fld | Units: arb U/L | Info: 
3040-3,Lipase [Enzymatic activity/volume] in Serum or Plasma,Test: Triacylglycerol lipase | System: Ser/Plas | Units: arb U/L | Info: 
3043-7,Triglyceride [Mass/volume] in Blood,Test: Triglyceride | System: Bld | Units: mg/dL | Info: 
3044-5,Triglyceride+ester in HDL [Mass/volume] in Serum or Plasma,Test: Triglyceride+ester.in HDL | System: Ser/Plas | Units: mg/dL | Info: 
3045-2,Triglyceride+ester in IDL [Mass/volume] in Serum or Plasma,Test: Triglyceride+ester.in IDL | System: Ser/Plas | Units: mg/dL | Info: 
3046-0,Triglyceride+ester in LDL [Mass/volume] in Serum or Plasma,Test: Triglyceride+ester.in LDL | System: Ser/Plas | Units: mg/dL | Info: 
3047-8,Triglyceride+ester in VLDL [Mass/volume] in Serum or Plasma,Test: Triglyceride+ester.in VLDL | System: Ser/Plas | Units: mg/dL | Info: 
30508-6,Etiocholanolone/Creatinine [Mass Ratio] in Urine,Test: Etiocholanolone/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
30509-4,Androsterone/Creatinine [Mass Ratio] in Urine,Test: Androsterone/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
30511-0,Cortisone/Creatinine [Mass Ratio] in Urine,Test: Cortisone/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
30512-8,Pregnanetriol/Creatinine [Mass Ratio] in Urine,Test: Pregnanetriol/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
30513-6,Pregnanetriolone/Creatinine [Mass Ratio] in Urine,Test: Pregnanetriolone/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
30515-1,Tetrahydroaldosterone/Creatinine [Mass Ratio] in Urine,Test: Tetrahydroaldosterone/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
30518-5,Cholate [Moles/volume] in Serum or Plasma,Test: Cholate | System: Ser/Plas | Units: umol/L | Info: 
30519-3,Chenodeoxycholate [Moles/volume] in Serum or Plasma,Test: Chenodeoxycholate | System: Ser/Plas | Units: umol/L | Info: 
30520-1,Deoxycholate [Moles/volume] in Serum or Plasma,Test: Deoxycholate | System: Ser/Plas | Units: umol/L | Info: 
30521-9,Inhibin B [Units/volume] in Serum or Plasma,Test: Inhibin B | System: Ser/Plas | Units: arb U/mL | Info: 
30527-6,Calcium [Mass/volume] in Total parental nutrition,Test: Calcium | System: TPN | Units: mg/dL | Info: 
30531-8,Isovalerylcarnitine+Methylbutyrylcarnitine (C5) [Moles/volume] in Serum or Plasma,Test: Isovalerylcarnitine+Methylbutyrylcarnitine (C5) | System: Ser/Plas | Units: mcmol/L; nmol/mL | Info: 
30534-2,Linoleoylcarnitine (C18:2) [Moles/volume] in Serum or Plasma,Test: Linoleoylcarnitine (C18:2) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30536-7,Magnesium [Mass/volume] in Total parental nutrition,Test: Magnesium | System: TPN | Units: mg/dL | Info: 
30540-9,Octanoylcarnitine (C8) [Moles/volume] in Serum or Plasma,Test: Octanoylcarnitine (C8) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30541-7,Octenoylcarnitine (C8:1) [Moles/volume] in Serum or Plasma,Test: Octenoylcarnitine (C8:1) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30542-5,Oleoylcarnitine (C18:1) [Moles/volume] in Serum or Plasma,Test: Oleoylcarnitine (C18:1) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
3054-4,Triiodothyronine (T3).true [Mass/volume] in Serum or Plasma,Test: Triiodothyronine.true | System: Ser/Plas | Units: pg/mL | Info: 
30544-1,Phosphate [Mass/volume] in Total parental nutrition,Test: Phosphate | System: TPN | Units: mg/dL | Info: 
30549-0,Potassium [Moles/volume] in Total parental nutrition,Test: Potassium | System: TPN | Units: mmol/L | Info: 
30550-8,Pristanate (C15:0(CH3)4)/Phytanate (C16:0(CH3)4) [Molar ratio] in Serum or Plasma,Test: Pristanate/Phytanate | System: Ser/Plas | Units: ratio | Info: 
30551-6,Propionylcarnitine (C3) [Moles/volume] in Serum or Plasma,Test: Propionylcarnitine (C3) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30552-4,Pyridoxal phosphate [Mass/volume] in Serum or Plasma,Test: Pyridoxal phosphate | System: Ser/Plas | Units: ug/L | Info: 
30558-1,Sodium [Moles/volume] in Total parental nutrition,Test: Sodium | System: TPN | Units: mmol/L | Info: 
30560-7,Stearoylcarnitine (C18) [Moles/volume] in Serum or Plasma,Test: Stearoylcarnitine (C18) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30562-3,Surfactant/Albumin [Mass Ratio] in Amniotic fluid,Test: Surfactant/Albumin | System: Amnio fld | Units: mg/g | Info: 
30564-9,Tetradecadienoylcarnitine (C14:2) [Moles/volume] in Serum or Plasma,Test: Tetradecadienoylcarnitine (C14:2) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30565-6,Tetradecanoylcarnitine (C14) [Moles/volume] in Serum or Plasma,Test: Tetradecanoylcarnitine (C14) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30566-4,Tetradecenoylcarnitine (C14:1) [Moles/volume] in Serum or Plasma,Test: Tetradecenoylcarnitine (C14:1) | System: Ser/Plas | Units: umol/L;mcmol/L; nmol/mL | Info: 
30567-2,Thyroid stimulating immunoglobulins [Units/volume] in Serum,Test: Thyroid stimulating immunoglobulins | System: Ser | Units: Index | Info: 
3056-9,Trimethylamine [Mass/volume] in Urine,Test: Trimethylamine | System: Urine | Units: ng/mL | Info: 
30572-2,Pyridoxal [Mass/volume] in Serum or Plasma,Test: Pyridoxal | System: Ser/Plas | Units: ug/L | Info: 
30574-8,Acetoacetate+Acetone [Mass/volume] in Serum or Plasma,Test: Acetoacetate+Acetone | System: Ser/Plas | Units: mg/dL | Info: 
3057-7,Triokinase [Enzymatic activity/volume] in Plasma,Test: Triokinase | System: Plas | Units: arb U/L | Info: 
3058-5,Triosephosphate isomerase [Enzymatic activity/volume] in Serum,Test: Triosephosphate isomerase | System: Ser | Units: arb U/L | Info: 
3060-1,Trypsin [Enzymatic activity/volume] in Serum or Plasma,Test: Trypsin | System: Ser/Plas | Units: arb U/L | Info: 
3062-7,Trypsin [Enzymatic activity/time] in 24 hour Stool,Test: Trypsin | System: Stool | Units: U/24 H | Info: 
3064-3,Trypsin+Trypsinogen [Mass/volume] in Serum or Plasma,Test: Trypsin+Trypsinogen | System: Ser/Plas | Units: ng/mL | Info: 
3067-6,Trypsinogen I Free [Mass/volume] in Serum or Plasma,Test: Trypsinogen I.free | System: Ser/Plas | Units: ug/L | Info: 
3073-4,Tryptophan Free [Mass/volume] in Serum or Plasma,Test: Tryptophan.free | System: Ser/Plas | Units: mg/dL | Info: 
3074-2,Tumor necrosis factor.alpha [Mass/volume] in Serum or Plasma,Test: Tumor necrosis factor.alpha | System: Ser/Plas | Units: pg/mL | Info: 
3077-5,Tyrosine [Mass/volume] in Blood,Test: Tyrosine | System: Bld | Units: mg/dL | Info: 
3083-3,Urate [Mass/volume] in Amniotic fluid,Test: Urate | System: Amnio fld | Units: mg/dL | Info: 
3085-8,Urate [Mass/volume] in Synovial fluid,Test: Urate | System: Synv fld | Units: mg/dL | Info: 
3088-2,Urate renal clearance in 24 hour Urine and Serum or Plasma,Test: Urate renal clearance | System: Urine+Ser/Plas | Units: mL/min | Info: 
30894-0,Aldosterone/Renin [Ratio] in Plasma,Test: Aldosterone/Renin | System: Plas | Units: ratio | Info: 
3090-8,Urea [Mass/volume] in Amniotic fluid,Test: Urea | System: Amnio fld | Units: mg/dL | Info: 
3093-2,Urea nitrogen [Mass/volume] in Body fluid,Test: Urea nitrogen | System: Body fld | Units: mg/dL | Info: 
3097-3,Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma,Test: Urea nitrogen/Creatinine | System: Ser/Plas | Units: mg/mg creatinine | Info: 
3098-1,Urea renal clearance in 24 hour Urine and Serum or Plasma,Test: Urea renal clearance | System: Urine+Ser/Plas | Units: mL/s | Info: 
3099-9,Uridine diphosphate glucose-4-Epimerase [Enzymatic activity/volume] in Plasma,Test: Uridine diphosphate glucose-4-Epimerase | System: Plas | Units: arb U/L | Info: 
3100-5,Uridyl transferase [Enzymatic activity/volume] in Red Blood Cells,Test: Uridyl transferase | System: RBC | Units: U/mL RBC | Info: 
3101-3,Uridyl transferase [Enzymatic activity/mass] in Tissue,Test: Uridyl transferase | System: Tiss | Units: U/g | Info: 
31020-1,Dehydroepiandrosterone (DHEA) [Mass/volume] in Amniotic fluid,Test: Dehydroepiandrosterone | System: Amnio fld | Units: ng/dL | Info: 
3102-1,Urobilin [Mass/volume] in Stool,Test: Urobilin | System: Stool | Units: mg/dL | Info: 
3104-7,Urobilin [Mass/volume] in Urine,Test: Urobilin | System: Urine | Units: mg/dL | Info: 
3110-4,Uronate [Mass/volume] in Urine,Test: Uronate | System: Urine | Units: ug/mL | Info: 
3111-2,Uroporphyrin 1 isomer [Mass/volume] in Red Blood Cells,Test: Uroporphyrin 1 isomer | System: RBC | Units: ug/dL | Info: 
31144-9,Thyroxine (T4) [Mass/volume] in DBS,Test: Thyroxine | System: Bld.dot | Units: ug/dL | Info: 
3114-6,Uroporphyrinogen decarboxylase [Enzymatic activity/volume] in Plasma,Test: Uroporphyrinogen decarboxylase | System: Plas | Units: arb U/L | Info: 
31151-4,Alpha-2-Microglobulin [Mass/volume] in 24 hour Urine,Test: Alpha-2-Microglobulin | System: Urine | Units: mg/dL | Info: 
3115-3,Uroporphyrinogen III synthase [Enzymatic activity/volume] in Plasma,Test: Uroporphyrinogen III synthase | System: Plas | Units: arb U/L | Info: 
31159-7,Heparin anti Xa [Units/volume] in Nonbiological fluid,Test: Heparin anti Xa | System: Flu.nonbiological | Units: arb U/mL | Info: 
31176-1,Estradiol (E2) [Mass/volume] in Amniotic fluid,Test: Estradiol | System: Amnio fld | Units: pg/mL | Info: 
31177-9,Estrone (E1) [Mass/volume] in Amniotic fluid,Test: Estrone | System: Amnio fld | Units: pg/mL | Info: 
3121-1,Vanillylmandelate [Mass/volume] in Serum or Plasma,Test: Vanillylmandelate | System: Ser/Plas | Units: mg/dL | Info: 
3123-7,Vanillylmandelate/Creatine [Mass Ratio] in Urine,Test: Vanillylmandelate/Creatine | System: Urine | Units: mg/g | Info: 
3125-2,Vasoactive intestinal peptide [Mass/volume] in Serum or Plasma,Test: Vasoactive intestinal peptide | System: Ser/Plas | Units: ng/L;pg/mL | Info: 
3126-0,Vasopressin [Mass/volume] in Serum or Plasma,Test: Vasopressin | System: Ser/Plas | Units: ng/L;pg/mL | Info: 
3129-4,Menadione [Mass/volume] in Serum or Plasma,Test: Menadione | System: Ser/Plas | Units: ug/mL | Info: 
3130-2,Vitronectin [Mass/volume] in Plasma,Test: Vitronectin | System: Plas | Units: mg/L | Info: 
3131-0,Xanthine [Mass/volume] in Serum,Test: Xanthine | System: Ser | Units: mg/L | Info: 
3132-8,Xanthine [Mass/volume] in Urine,Test: Xanthine | System: Urine | Units: mg/L | Info: 
3133-6,Xanthurenate [Mass/volume] in Urine,Test: Xanthurenate | System: Urine | Units: ng/mL | Info: 
3134-4,Xylose [Mass/volume] in Blood,Test: Xylose | System: Bld | Units: mg/dL | Info: 
3136-9,Xylulose [Mass/volume] in Serum,Test: Xylulose | System: Ser | Units: mg/dL | Info: 
31443-5,Intrinsic factor blocking Ab [Units/volume] in Serum,Test: Intrinsic factor blocking Ab | System: Ser | Units: arb U/mL | Info: 
3147-6,Oxygen [Partial pressure] in Exhaled gas,Test: Oxygen | System: Exhl gas | Units: mm Hg | Info: 
3148-4,Oxygen [Partial pressure] in Gas,Test: Oxygen | System: Gas | Units: mm Hg | Info: 
3149-2,Oxygen [Partial pressure] in Inhaled gas,Test: Oxygen | System: Inhl gas | Units: mm Hg | Info: 
31561-4,Phospholipid IgA Ab [Units/volume] in Serum,Test: Phospholipid Ab.IgA | System: Ser | Units: APL U | Info: 
3178-1,Bleeding time by Duke method,Test: Bleeding time | System: ^Patient | Units: min | Info: 
3180-7,Cardiolipin Ab [Units/volume] in Serum by Immunoassay,Test: Cardiolipin Ab | System: Ser | Units: arb U/mL | Info: 
3181-5,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay,Test: Cardiolipin Ab.IgG | System: Ser | Units: GPL U | Info: 
3182-3,Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay,Test: Cardiolipin Ab.IgM | System: Ser | Units: MPL U | Info: 
3183-1,Clotting time of Blood by Lee White method,Test: Clotting time | System: Bld | Units: s | Info: 
3185-6,Coagulation factor IX inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay,Test: Coagulation factor IX inhibitor | System: PPP | Units: Bethesda Units | Info: 
3187-2,Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay,Test: Coagulation factor IX activity actual/Normal | System: PPP | Units: % | Info: 
3188-0,Coagulation factor IX activity [Units/volume] in Platelet poor plasma by Chromogenic method,Test: Coagulation factor IX activity | System: PPP | Units: arb U/mL | Info: 
3189-8,Coagulation factor IX Ag [Units/volume] in Platelet poor plasma by Immunoassay,Test: Coagulation factor IX Ag | System: PPP | Units: arb U/mL | Info: 
3190-6,Coagulation factor IX Ag actual/normal in Platelet poor plasma by Immunoassay,Test: Coagulation factor IX Ag actual/Normal | System: PPP | Units: % | Info: 
3191-4,Coagulation factor V inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay,Test: Coagulation factor V inhibitor | System: PPP | Units: Bethesda Units | Info: 
3193-0,Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay,Test: Coagulation factor V activity actual/Normal | System: PPP | Units: % | Info: 
3195-5,Coagulation factor V Ag actual/normal in Platelet poor plasma by Immunoassay,Test: Coagulation factor V Ag actual/Normal | System: PPP | Units: % | Info: 
3196-3,Coagulation factor VII inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay,Test: Coagulation factor VII inhibitor | System: PPP | Units: Bethesda Units | Info: 
3198-9,Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay,Test: Coagulation factor VII activity actual/Normal | System: PPP | Units: % | Info: 
32008-5,Coproporphyrin/Creatinine [Molar ratio] in 24 hour Urine,Test: Coproporphyrin/Creatinine | System: Urine | Units: mmol/mol creatinine | Info: 
32014-3,Eosinophils/Leukocytes in Urine by Manual count,Test: Eosinophils/Leukocytes | System: Urine | Units: % | Info: 
32020-0,Homocysteine [Moles/volume] in Urine,Test: Homocysteine | System: Urine | Units: umol/L | Info: 
32031-7,Phosphatidylserine IgA Ab [Units/volume] in Serum by Immunoassay,Test: Phosphatidylserine Ab.IgA | System: Ser | Units: APL U | Info: 
3203-7,Coagulation factor VII+Acarboxy Ag activity actual/normal in Platelet poor plasma by Immunoassay,Test: Coagulation factor VII+Acarboxy Ag activity actual/Normal | System: PPP | Units: % | Info: 
32043-2,Uroporphyrin/Creatinine [Molar ratio] in 24 hour Urine,Test: Uroporphyrin/Creatinine | System: Urine | Units: umol/mol; umol/mol Cr | Info: 
3204-5,Coagulation factor VIII inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay,Test: Coagulation factor VIII inhibitor | System: PPP | Units: Bethesda Units | Info: 
3208-6,Coagulation factor VIII activity [Units/volume] in Platelet poor plasma by Coagulation assay,Test: Coagulation factor VIII activity | System: PPP | Units: arb U/mL | Info: 
3209-4,Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay,Test: Coagulation factor VIII activity actual/Normal | System: PPP | Units: % | Info: 
32132-3,Lactate [Moles/volume] in Arterial plasma,Test: Lactate | System: PlasA | Units: mmol/L | Info: 
32133-1,Lactate [Moles/volume] in Plasma venous,Test: Lactate | System: PlasV | Units: mmol/L | Info: 
3213-6,Coagulation factor VIII Ag [Units/volume] in Platelet poor plasma by Immunoassay,Test: Coagulation factor VIII Ag | System: PPP | Units: arb U/mL | Info: 
32137-2,Calcium phosphate/Total in Stone,Test: Calcium phosphate/Total | System: Calculus | Units: % | Info: 
32138-0,Cystine/Total in Stone,Test: Cystine/Total | System: Calculus | Units: % | Info: 
32143-0,Triple phosphate/Total in Stone,Test: Triple phosphate/Total | System: Calculus | Units: % | Info: 
32147-1,Reducing substances [Mass/volume] in Urine,Test: Reducing substances | System: Urine | Units: g/L;mg/dL | Info: 
32149-7,Urate/Total in Stone,Test: Urate/Total | System: Calculus | Units: % | Info: 
32156-2,Calcium carbonate/Total in Stone,Test: Calcium carbonate/Total | System: Calculus | Units: % | Info: 
32157-0,Calcium oxalate/Total in Stone,Test: Calcium oxalate/Total | System: Calculus | Units: % | Info: 
32159-6,Carbonated calcium phosphate/Total in Stone,Test: Carbonated calcium phosphate/Total | System: Calculus | Units: % | Info: 
32166-1,Choriogonadotropin [Multiple of the median] adjusted in Serum or Plasma,Test: Choriogonadotropin^^adjusted | System: Ser/Plas | Units: M.o.M | Info: 
3216-9,Coagulation factor X inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay,Test: Coagulation factor X inhibitor | System: PPP | Units: arb U/mL | Info: 
32179-4,Heptacarboxylporphyrin/Creatinine [Molar ratio] in 24 hour Urine,Test: Heptacarboxylporphyrin/Creatinine | System: Urine | Units: mmol/mol creatinine | Info: 
3218-5,Coagulation factor X activity actual/normal in Platelet poor plasma by Coagulation assay,Test: Coagulation factor X activity actual/Normal | System: PPP | Units: % | Info: 
32211-5,Reducing substances [Mass/volume] in Stool,Test: Reducing substances | System: Stool | Units: mg/dL | Info: 
32215-6,Thyroxine (T4) free index in Serum or Plasma by calculation,Test: Thyroxine free index | System: Ser/Plas | Units: Index | Info: 
3221-9,Coagulation factor X Ag actual/normal in Platelet poor plasma by Immunoassay,Test: Coagulation factor X Ag actual/Normal | System: PPP | Units: % | Info: 
32221-4,Alanine [Moles/volume] in Vitreous fluid,Test: Alanine | System: Vitr fld | Units: umol/L | Info: 
32222-2,Alanine [Moles/volume] in Body fluid,Test: Alanine | System: Body fld | Units: umol/L | Info: 
32223-0,Alpha aminobutyrate [Moles/volume] in Body fluid,Test: Alpha aminobutyrate | System: Body fld | Units: umol/L | Info: 
32224-8,Alpha aminobutyrate [Moles/volume] in Vitreous fluid,Test: Alpha aminobutyrate | System: Vitr fld | Units: umol/L | Info: 
32225-5,Arginine [Moles/volume] in Body fluid,Test: Arginine | System: Body fld | Units: umol/L | Info: 
32226-3,Arginine [Moles/volume] in Vitreous fluid,Test: Arginine | System: Vitr fld | Units: umol/L | Info: 
32227-1,Argininosuccinate [Moles/volume] in Serum or Plasma,Test: Argininosuccinate | System: Ser/Plas | Units: umol/L | Info: 
32228-9,Argininosuccinate [Moles/volume] in Amniotic fluid,Test: Argininosuccinate | System: Amnio fld | Units: umol/L | Info: 
32230-5,Asparagine [Moles/volume] in Body fluid,Test: Asparagine | System: Body fld | Units: umol/L | Info: 
32231-3,Aspartate [Moles/volume] in Vitreous fluid,Test: Aspartate | System: Vitr fld | Units: umol/L | Info: 
32232-1,Aspartate [Moles/volume] in Body fluid,Test: Aspartate | System: Body fld | Units: umol/L | Info: 
32233-9,Carbamoyl phosphate synthetase [Enzymatic activity/mass] in Tissue,Test: Carbamoyl phosphate synthetase | System: Tiss | Units: umol/h/mg protein | Info: 
32234-7,Citrulline [Moles/volume] in Vitreous fluid,Test: Citrulline | System: Vitr fld | Units: umol/L | Info: 
3223-5,Coagulation factor X+Acarboxy Ag actual/normal in Platelet poor plasma by Immunoassay,Test: Coagulation factor X+Acarboxy Ag actual/Normal | System: PPP | Units: % | Info: 
32235-4,Citrulline [Moles/volume] in Body fluid,Test: Citrulline | System: Body fld | Units: umol/L | Info: 
32236-2,Cystathionine [Moles/volume] in Vitreous fluid,Test: Cystathionine | System: Vitr fld | Units: umol/L | Info: 
32237-0,Cystine [Moles/volume] in Body fluid,Test: Cystine | System: Body fld | Units: umol/L | Info: 
32238-8,Cystine [Moles/volume] in Vitreous fluid,Test: Cystine | System: Vitr fld | Units: umol/L | Info: 
32239-6,Ethanolamine [Moles/volume] in Amniotic fluid,Test: Ethanolamine | System: Amnio fld | Units: umol/L | Info: 
32241-2,Glutamate [Moles/volume] in Vitreous fluid,Test: Glutamate | System: Vitr fld | Units: umol/L | Info: 
32242-0,Glutamine [Moles/volume] in Vitreous fluid,Test: Glutamine | System: Vitr fld | Units: umol/L | Info: 
3224-3,Coagulation factor XI inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay,Test: Coagulation factor XI inhibitor | System: PPP | Units: Bethesda Units | Info: 
32243-8,Glutamine [Moles/volume] in Body fluid,Test: Glutamine | System: Body fld | Units: umol/L | Info: 
32244-6,Glycine [Moles/volume] in Vitreous fluid,Test: Glycine | System: Vitr fld | Units: umol/L | Info: 
32245-3,Glycine [Moles/volume] in Body fluid,Test: Glycine | System: Body fld | Units: umol/L | Info: 
32246-1,Histidine [Moles/volume] in Body fluid,Test: Histidine | System: Body fld | Units: umol/L | Info: 
32247-9,Histidine [Moles/volume] in Vitreous fluid,Test: Histidine | System: Vitr fld | Units: umol/L | Info: 
32248-7,Homocitrulline/Creatinine [Ratio] in Urine,Test: Homocitrulline/Creatinine | System: Urine | Units: mmol/g creatinine | Info: 
32249-5,Hydroxyproline [Moles/volume] in Body fluid,Test: Hydroxyproline | System: Body fld | Units: umol/L | Info: 
32250-3,Hydroxyproline [Moles/volume] in Vitreous fluid,Test: Hydroxyproline | System: Vitr fld | Units: umol/L | Info: 
32251-1,Isoleucine [Moles/volume] in Body fluid,Test: Isoleucine | System: Body fld | Units: umol/L | Info: 
32252-9,Isoleucine [Moles/volume] in Vitreous fluid,Test: Isoleucine | System: Vitr fld | Units: umol/L | Info: 
32253-7,Leucine [Moles/volume] in Vitreous fluid,Test: Leucine | System: Vitr fld | Units: umol/L | Info: 
32254-5,Leucine [Moles/volume] in Body fluid,Test: Leucine | System: Body fld | Units: umol/L | Info: 
32255-2,Lysine [Moles/volume] in Vitreous fluid,Test: Lysine | System: Vitr fld | Units: umol/L | Info: 
32256-0,Lysine [Moles/volume] in Body fluid,Test: Lysine | System: Body fld | Units: umol/L | Info: 
32257-8,Methionine [Moles/volume] in Vitreous fluid,Test: Methionine | System: Vitr fld | Units: umol/L | Info: 
32258-6,Methionine [Moles/volume] in Body fluid,Test: Methionine | System: Body fld | Units: umol/L | Info: 
32259-4,Methylmalonate [Mass/volume] in Cerebral spinal fluid,Test: Methylmalonate | System: CSF | Units: mg/dL | Info: 
32260-2,Ornithine [Moles/volume] in Body fluid,Test: Ornithine | System: Body fld | Units: umol/L | Info: 
32261-0,Ornithine [Moles/volume] in Vitreous fluid,Test: Ornithine | System: Vitr fld | Units: umol/L | Info: 
32263-6,Phenylalanine [Moles/volume] in Body fluid,Test: Phenylalanine | System: Body fld | Units: umol/L | Info: 
32264-4,Phenylalanine [Moles/volume] in Vitreous fluid,Test: Phenylalanine | System: Vitr fld | Units: umol/L | Info: 
32265-1,Phenylalanine/Tyrosine [Molar ratio] in Serum or Plasma,Test: Phenylalanine/Tyrosine | System: Ser/Plas | Units: Ratio | Info: 
32266-9,Proline [Moles/volume] in Vitreous fluid,Test: Proline | System: Vitr fld | Units: umol/L | Info: 
32267-7,Proline [Moles/volume] in Body fluid,Test: Proline | System: Body fld | Units: umol/L | Info: 
3226-8,Coagulation factor XI activity actual/normal in Platelet poor plasma by Coagulation assay,Test: Coagulation factor XI activity actual/Normal | System: PPP | Units: % | Info: 
32269-3,Serine [Moles/volume] in Vitreous fluid,Test: Serine | System: Vitr fld | Units: umol/L | Info: 
